Call_ID,Agent,Supervisor,LOB,Start_Time,End_Time,Total_Handle_Time,Talk_Time,Queue_Time,Silence_Time,Escalated,NPS,UES
101,Harry,Laura,EnL,"Friday, March 14, 2025, 8:18:00 AM","Friday, March 14, 2025, 8:21:00 AM",189,156,25,8,No,9,10
102,Daniel,Kim,MnR,"Wednesday, January 22, 2025, 10:34:00 AM","Wednesday, January 22, 2025, 10:37:00 AM",135,103,18,14,No,8,9
103,Daisy,Walter,CnS,"Friday, May 9, 2025, 7:10:00 PM","Friday, May 9, 2025, 7:15:00 PM",307,252,37,18,Yes,2,3
104,Mary,Jon,EnL,"Wednesday, November 12, 2025, 6:34:00 PM","Wednesday, November 12, 2025, 6:40:00 PM",375,292,49,34,Yes,1,2
105,Justin,Robert,MnR,"Monday, August 4, 2025, 3:22:00 PM","Monday, August 4, 2025, 3:26:00 PM",248,223,15,10,Yes,3,4
106,Harry,Laura,CnS,"Friday, February 28, 2025, 8:15:00 PM","Friday, February 28, 2025, 8:22:00 PM",418,351,38,29,Yes,2,1
107,Daniel,Kim,EnL,"Tuesday, June 17, 2025, 7:23:00 PM","Tuesday, June 17, 2025, 7:27:00 PM",263,226,32,5,Yes,4,3
108,Daisy,Walter,MnR,"Friday, December 5, 2025, 6:58:00 PM","Friday, December 5, 2025, 7:04:00 PM",339,298,24,17,Yes,2,2
109,Mary,Jon,CnS,"Saturday, April 19, 2025, 6:20:00 PM","Saturday, April 19, 2025, 6:27:00 PM",444,364,40,40,Yes,1,1
110,Justin,Robert,EnL,"Wednesday, September 10, 2025, 8:56:00 PM","Wednesday, September 10, 2025, 8:58:00 PM",111,96,8,7,No,9,10
111,Harry,Laura,MnR,"Tuesday, July 22, 2025, 2:35:00 PM","Tuesday, July 22, 2025, 2:42:00 PM",436,335,57,44,Yes,2,2
112,Daniel,Kim,CnS,"Wednesday, March 5, 2025, 9:28:00 AM","Wednesday, March 5, 2025, 9:33:00 AM",302,248,27,27,Yes,3,3
113,Daisy,Walter,EnL,"Tuesday, October 14, 2025, 7:21:00 PM","Tuesday, October 14, 2025, 7:24:00 PM",178,144,16,18,No,8,9
114,Mary,Jon,MnR,"Sunday, May 25, 2025, 10:17:00 AM","Sunday, May 25, 2025, 10:23:00 AM",326,264,39,23,Yes,1,2
115,Justin,Robert,CnS,"Saturday, January 11, 2025, 10:41:00 AM","Saturday, January 11, 2025, 10:48:00 AM",408,322,45,41,Yes,2,2
116,Harry,Laura,EnL,"Tuesday, December 30, 2025, 11:42:00 AM","Tuesday, December 30, 2025, 11:47:00 AM",296,254,15,27,Yes,3,4
117,Daniel,Kim,MnR,"Tuesday, August 19, 2025, 2:20:00 PM","Tuesday, August 19, 2025, 2:27:00 PM",409,315,53,41,Yes,2,1
118,Daisy,Walter,CnS,"Wednesday, April 2, 2025, 8:51:00 PM","Wednesday, April 2, 2025, 8:53:00 PM",88,75,7,6,No,10,10
119,Mary,Jon,EnL,"Wednesday, June 11, 2025, 10:57:00 AM","Wednesday, June 11, 2025, 10:59:00 AM",142,122,11,9,No,9,9
120,Justin,Robert,MnR,"Friday, February 14, 2025, 1:48:00 PM","Friday, February 14, 2025, 1:55:00 PM",390,323,55,12,Yes,1,2
121,Harry,Laura,CnS,"Wednesday, November 5, 2025, 4:30:00 PM","Wednesday, November 5, 2025, 4:35:00 PM",311,242,47,22,Yes,3,3
122,Daniel,Kim,EnL,"Tuesday, March 25, 2025, 11:43:00 AM","Tuesday, March 25, 2025, 11:48:00 AM",302,266,24,12,Yes,4,4
123,Daisy,Walter,MnR,"Thursday, September 18, 2025, 4:50:00 PM","Thursday, September 18, 2025, 4:52:00 PM",90,75,9,6,No,9,10
124,Mary,Jon,CnS,"Thursday, May 1, 2025, 7:31:00 PM","Thursday, May 1, 2025, 7:36:00 PM",307,277,18,12,Yes,2,2
125,Justin,Robert,EnL,"Tuesday, October 21, 2025, 4:21:00 PM","Tuesday, October 21, 2025, 4:25:00 PM",234,178,33,23,Yes,4,3
126,Harry,Laura,MnR,"Saturday, April 12, 2025, 4:16:00 PM","Saturday, April 12, 2025, 4:19:00 PM",177,152,9,16,No,8,8
127,Daniel,Kim,CnS,"Tuesday, July 8, 2025, 3:46:00 PM","Tuesday, July 8, 2025, 3:52:00 PM",365,307,22,36,Yes,2,2
128,Daisy,Walter,EnL,"Thursday, January 30, 2025, 7:33:00 PM","Thursday, January 30, 2025, 7:37:00 PM",240,221,14,5,Yes,3,4
129,Mary,Jon,MnR,"Friday, August 15, 2025, 1:21:00 PM","Friday, August 15, 2025, 1:27:00 PM",325,267,29,29,Yes,1,2
130,Justin,Robert,CnS,"Saturday, March 22, 2025, 11:19:00 AM","Saturday, March 22, 2025, 11:26:00 AM",388,353,27,8,Yes,2,3
131,Harry,Laura,EnL,"Wednesday, February 12, 2025, 8:57:00 PM","Wednesday, February 12, 2025, 8:59:00 PM",83,70,9,4,No,9,10
132,Daniel,Kim,MnR,"Sunday, June 29, 2025, 1:02:00 PM","Sunday, June 29, 2025, 1:09:00 PM",415,336,62,17,Yes,1,1
133,Daisy,Walter,CnS,"Sunday, September 14, 2025, 7:51:00 PM","Sunday, September 14, 2025, 7:56:00 PM",320,278,32,10,Yes,2,2
134,Mary,Jon,EnL,"Saturday, April 5, 2025, 2:51:00 PM","Saturday, April 5, 2025, 2:57:00 PM",337,293,24,20,Yes,2,3
135,Justin,Robert,MnR,"Thursday, December 18, 2025, 1:31:00 PM","Thursday, December 18, 2025, 1:37:00 PM",383,330,19,34,Yes,1,1
136,Harry,Laura,CnS,"Saturday, January 25, 2025, 1:02:00 PM","Saturday, January 25, 2025, 1:09:00 PM",412,350,33,29,Yes,2,2
137,Daniel,Kim,EnL,"Tuesday, July 15, 2025, 8:31:00 AM","Tuesday, July 15, 2025, 8:35:00 AM",234,210,19,5,Yes,4,4
